"Book No","OSIS ID","Short Name","Long Name","English Name","Chapters"
40,"Matt","மத்","மத்தேயு","Matthew",28
41,"Mark","மாற்","மாற்கு","Mark",16
42,"Luke","லூக்","லூக்கா","Luke",24
43,"John","யோவா","யோவான்","John",21
44,"Acts","அப்","அப்போஸ்தலர்","Acts of the Apostles",28
45,"Rom","உரோம","உரோமர்","Romans",16
46,"1Cor","1 கொரி","1 கொரிந்தியர்","1 Corinthians",16
47,"2Cor","2 கொரி","2 கொரிந்தியர்","2 Corinthians",13
48,"Gal","கலா","கலாத்தியர்","Galatians",6
49,"Eph","எபே","எபேசியர்","Ephesians",6
50,"Phil","பிலி","பிலிப்பியர்","Philippians",4
51,"Col","கொலோ","கொலோசெயர்","Colossians",4
52,"1Thess","1 தெச","1 தெசலோனிக்கேயர்","1 Thessalonians",5
53,"2Thess","2 தெச","2 தெசலோனிக்கேயர்","2 Thessalonians",3
54,"1Tim","1 தீமோ","1 தீமோத்தேயு","1 Timothy",6
55,"2Tim","2 தீமோ","2 தீமோத்தேயு","2 Timothy",4
56,"Titus","தீத்","தீத்து","Titus",3
57,"Phlm","பிலே","பிலேமோன்","Philemon",1
58,"Heb","எபி","எபிரேயர்","Hebrews",13
59,"Jas","யாக்","யாக்கோபு","James",5
60,"1Pet","1 பேது","1 பேதுரு","1 Peter",5
61,"2Pet","2 பேது","2 பேதுரு","2 Peter",3
62,"1John","1 யோவா","1 யோவான்","1 John",5
63,"2John","2 யோவா","2 யோவான்","2 John",1
64,"3John","3 யோவா","3 யோவான்","3 John",1
65,"Jude","யூதா","யூதா","Jude",1
66,"Rev","வெளி","வெளிப்படுத்தின விசேஷம்","Revelation",22
